Country,Institution,Type,Project,Amount (in USD),Financial Close,Region,Recipient Country,Recipient Subregion,Project Sponsor,Construction Company,Generator Manufacturer,Source 1,Notes,Source 2,Source 3,Sector Group,Sector,Plant Type,Total Project Value ,Status,Power Plant Size (MW) or Share ,Annual Emissions (MMTCO2),Lifetime Emissions (MMTCO2) ,Coal Mine Size (Mtpa) ,Full MW Size ,Parent Company,SSS Manufacturer,Turbine Manufacturer,Architechture/Engineering,GPPD ID,Latitude,Longitude,Location Source
United States,Export-Import Bank of the United States (EXIM),Export Credit & Insurance,Oyu Tolgoi gold and copper mine (w/ coal power plant),$0 ,5/16/2013,Central Asia and Caucasus,Mongolia,,Oyu Tolgoi LLC,,,http://www.exim.gov/newsandevents/releases/2013/ExIm-Approves-500-million-to-Finance-US-Exports-for-Use-in-Mongolian-Mine.cfm,"EXIM RESPONSE: The Oyu Tolgoi mine project no longer has an associated power plant, coal or otherwise.  The mine will obtain power from another source.  EXIM’s only involvement remains with the development of the copper/gold mine itself.","http://www.exim.gov/about/library/reports/annualreports/2013/FY2013-long-term-guarantees-auth.pdf
http://action.sierraclub.org/site/DocServer/Tolgoi_assessment_Final.pdf?docID=11801",,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,43.00833,106.843056,GCPT
Japan,Japan Bank for International Cooperation (JBIC),Export Credit & Insurance,Boggabri Coal Mine Expansion Project,"$350,000,000 ",5/16/2013,Oceania,Australia,,Idemitsu Australia Resources Pty Ltd,,,https://www.jbic.go.jp/en/information/press/press-2013/0516-7513,,,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,7,,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Bangchak Solar PV (16MW),"$30,000,000 ",5/17/2013,Southeast Asia,Thailand,, Bangchak Solar Energy ,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial close,16,,,,16,,,,,WRI1026229,14.1691,100.5528,WRI
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Modernisation of Israeli coal-fired power plants,"$96,705,008 ",5/22/2013,Middle East & North Africa,Israel,,Israel Electric Corporation LTD (IEC),,,https://www.kfw-ipex-bank.de/International-financing/KfW-IPEX-Bank/Presse/Pressemitteilungen/Pressemitteilungsdetails_125760.html,,,,Coal Power Plant,Coal Power Plant - Existing,,,Financial Close,,0,0,,,,,,,,,,
China,China Development Bank,Other Public Financer,"SUMSEL-5 POWER STATION
(AKA SUMATERA SELATAN-
5)","$318,000,000 ",5/23/2013,Southeast Asia,Indonesia,South Sumatra,"Sinar Mas Group, PT DIAN SWASTATIKA SENTOSA TBK",SEPCC3,,http://mediaprofesi.com/industri/2136-pt-dssp-power-sumsel-pltu-ipp-sumsel-5-siap-beroperasi-tahun-2015.html,,"http://news.xinhuanet.com/world/2012-12/04/c_113907348.htm; 
http://climatepolicyinitiative.org/wp-content/uploads/2015/11/Slowing-the-Growth-of-Coal-Power-Outside-China.pdf",http://www.sourcewatch.org/index.php/Sumsel-5_power_station,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financial Close,300,0.34,14,,,PT SINAR MAS,DONGFANG,,CNEEC,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Amakhala Emoyeni Phase 1 Wind Farm Financing (134.4MW),"$164,150,000 ",5/28/2013,Sub-Saharan Africa,South Africa,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,134.4,,,,134.4,,,,,WRI1026029,-32.875,25.9977,WRI
Multilateral,World Bank - International Development Association,Multilateral,Geothermal exploratory drilling project,"$6,000,000 ",6/5/2013,Sub-Saharan Africa,Djibouti,,Government of Djibouti,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,http://www.worldbank.org/projects/P127143/dj-geothermal-exploratory-drilling-project?lang=en,,Renewables,Geothermal,,,Financial Close,,,,,,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Vents du Kempt Wind Farm Financing (101MW),"$122,750,000 ",6/10/2013,US and Canada,Canada,Quebec,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,101,,,,101,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,ACME Energy,"$50,000,000 ",6/14/2013,South Asia,India,,ACME SOLAR ENERGY (MADHYA PRADESH) PVT LTD,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/78e3b305216fcdba85257a8b0075079d/8d23a6dfad320d2585257b50006ea283?opendocument,,Renewables,Solar,,,Financial Close,25,,,,,,,,,,,,
Multilateral,World Bank - International Development Association,Multilateral,HN RURAL INFRASTRUCTURE PROJECT (AF) RE,"$3,000,000 ",6/19/2013,Latin America & Caribbean,Honduras,,Government of Honduras,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://www.worldbank.org/projects/P144324/hn-rural-infrastructure-project-af?lang=en  
http://www.worldbank.org/en/news/loans-credits/2013/06/19/honduras-rural-infrastructure-additional-financing",,Renewables,Other,,,Financial Close,,,,,,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,SunEdison Merchant,"$38,000,000 ",6/26/2013,Latin America & Caribbean,Chile,,San Andres SpA,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,https://ifcndd.ifc.org/ifcext/spiwebsite1.nsf/78e3b305216fcdba85257a8b0075079d/15a706677f4cdf7485257b6e00709af2?opendocument,,Renewables,Solar,,,Financial Close,50,,,,,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,SunEdison CAP,"$65,000,000 ",6/26/2013,Latin America & Caribbean,Chile,,AMANECER SOLAR SPA,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/78e3b305216fcdba85257a8b0075079d/93623b9849a7a98785257b71005e82b6?opendocument,,Renewables,Solar,,,Financial Close,100,,,,,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW IPEX),Export Credit & Insurance,"""Brave Tern"" and ""Bold Tern"" Offshore Wind Farm Installation Ships","$110,613,711 ",6/27/2013,Europe,Norway,,Fred. Olsen Windcarrier AG,,,Oil Change International’s Shift the Subsidies Database,,https://www.kfw-ipex-bank.de/International-financing/KfW-IPEX-Bank/Presse/Pressemitteilungen/Pressemitteilungsdetails_141248.html,,Renewables,Wind,,,,,,,,,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Outer Island Renewable Energy Project,"$2,000,000 ",6/27/2013,Oceania,Tonga,,Government of Tonga,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://www.adb.org/projects/43452-022/main  http://www.adb.org/sites/default/files/projdocs/43452-022-ton-rrp.pdf""",,Renewables,Solar,,,Financial Close,0.75,,,,,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Renovation & Retrofitting of Electro Static Precipitators,"$123,596,454 ",6/28/2013,South Asia,India,,National Thermal Power Corporation,,,http://www.thehindu.com/business/Industry/ntpc-ties-up-95-m-euro-loan-facility-with-kfw/article4860075.ece,,,,Coal Power Plant Emissions Control,Coal Power Plant - Emissions Control,,,Financial Close,,0,0,,,,,,,,,,
Multilateral,African Development Bank (AfDB),Multilateral,Geothermal exploratory drilling project,"$5,852,037 ",6/28/2013,Sub-Saharan Africa,Djibouti,,Government of Djibouti,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,http://www.afdb.org/en/projects-and-operations/project-portfolio/project/p-dj-fa0-001,,Renewables,Geothermal,,,Financial Close,,,,,,,,,,,,,
France,Agence Francaise de Development,Other Public Financer,Ouarzazate Thermal Solar IPP (Noor Phase I) (160MW),"$136,000,000 ",6/30/2013,Middle East & North Africa,Morocco,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,"Photovoltaic Solar,Thermal Solar",,,Financial Close,26.67,,,,26.7,,,,,WRI1023680,31.0404,-6.8449,WRI
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Ouarzazate Thermal Solar IPP (Noor Phase I) (160MW),"$136,000,000 ",6/30/2013,Middle East & North Africa,Morocco,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,"Photovoltaic Solar,Thermal Solar",,,Financial Close,26.67,,,,26.7,,,,,WRI1023680,31.0404,-6.8449,WRI
Multilateral,African Development Bank (AfDB),Multilateral,Ouarzazate Thermal Solar IPP (Noor Phase I) (160MW),"$236,000,000 ",6/30/2013,Middle East & North Africa,Morocco,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,"Photovoltaic Solar,Thermal Solar",,,Financial Close,26.67,,,,26.7,,,,,WRI1023680,31.0404,-6.8449,WRI
Multilateral,Clean Technology Fund,Multilateral,Ouarzazate Thermal Solar IPP (Noor Phase I) (160MW),"$100,000,000 ",6/30/2013,Middle East & North Africa,Morocco,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,"Photovoltaic Solar,Thermal Solar",,,Financial Close,26.67,,,,26.7,,,,,WRI1023680,31.0404,-6.8449,WRI
Multilateral,European Bank for Reconstruction and Development,Multilateral,Ouarzazate Thermal Solar IPP (Noor Phase I) (160MW),"$156,000,000 ",6/30/2013,Middle East & North Africa,Morocco,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,"Photovoltaic Solar,Thermal Solar",,,Financial Close,26.67,,,,26.7,,,,,WRI1023680,31.0404,-6.8449,WRI
Multilateral,World Bank,Multilateral,Ouarzazate Thermal Solar IPP (Noor Phase I) (160MW),"$200,000,000 ",6/30/2013,Middle East & North Africa,Morocco,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,"Photovoltaic Solar,Thermal Solar",,,Financial Close,26.67,,,,26.7,,,,,WRI1023680,31.0404,-6.8449,WRI
Multilateral,European Bank for Reconstruction and Development,Multilateral,PEPSA Wind Farms Portfolio (103.5MW),"$78,000,000 ",7/10/2013,Europe,Poland,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,51.75,,,,51.8,,,,,,,,
Multilateral,European Bank for Reconstruction and Development,Multilateral,PEPSA Wind Farms Portfolio (103.5MW),"$16,000,000 ",7/10/2013,Europe,Poland,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,51.75,,,,51.8,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Jelinak wind farm financing (30MW),"$19,740,000 ",7/13/2013,Europe,Croatia,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,30,,,,30,,,,,,,,
Multilateral,World Bank - International Development Association,Multilateral,Ninth Poverty Reduction Support Credit (PRSC 9),"$12,100,000 ",7/16/2013,Sub-Saharan Africa,Mozambique,,Government of Mozambique ,,,http://www.ebrd.com/work-with-us/projects/psd/mak.html,"Total Loan: $110 mil As stated on the World Bank website under 'Details' - 'Sectors': Other Mining and Extractive Industries 22% The government is currently revising the mining and petroleum legislation, supported by this PRSC series. Given focus on coal mining, 11% counted for coal mining regulations.Coal mining extensively referenced in project documents 

Bank Response: Among other things, this DPL supported Mozambique becoming EITI compliant and improving mining sector laws. Included a trigger for coverage of the legal framework managing mining and petroleum activities.","

http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2013/06/26/000356161_20130626114537/Rendered/PDF/751170PGD0P131010Box0377356B0OUO090.pdf
http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2013/06/13/000001843_20130618125021/Rendered/PDF/PID000Appraisal0Stage000MZ0PRSC9.pdf",,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Foundation Wind Energy Wind Farm I (50MW),"$33,430,000 ",7/24/2013,South Asia,Pakistan,," Fauji Foundation, Fauji Fertlizer Bin Qasim Limited, and Islamic Infrastructure Fund ",,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial close,16.67,,,,16.7,,,,,WRI1030467,24.5757,67.4626,WRI
China,Export-Import Bank of China,Export Credit & Insurance,Sepco III,"$360,000,000 ",7/26/2013,Middle East & North Africa,Morocco,,Sepco III,,,http://news.xinhuanet.com/english/africa/2013-07/26/c_132577824.htm,,http://news.xinhuanet.com/english/africa/2013-07/26/c_132577824.htm,,Coal Power Plant,Coal Power Plant - New,Supercritical,,Financial Close,318,0.36,14,,,OFF NATL L'ELEC L'EAU (ONEE),,,SEPCO3,,,,
Germany,Euler Hermes,Export Credit & Insurance,Bord Gais Wind Farm Portfolio Financing,"$244,480,000 ",7/26/2013,Europe,Ireland,,Bord G??is ??ireann ,,,Oil Change International’s Shift the Subsidies Database,,https://ijglobal.com/data/transaction/27985/bord-gais-wind-farm-portfolio-financing,,Renewables,Wind,,,,,,,,,,,,,,,,
Canada,Canadian Climate Fund,Other Public Financer,Pozo Almonte and Calama Solar Financing (26.1MW),"$20,700,000 ",7/30/2013,Latin America & Caribbean,Chile,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,8.7,,,,8.7,Inter-American Development Bank,,,,CHL0004010,-20.2717,-69.7559,WRI
France,Agence Francaise de Development - Proparco,Other Public Financer,Pozo Almonte and Calama Solar Financing (26.1MW),"$25,000,000 ",7/30/2013,Latin America & Caribbean,Chile,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,8.7,,,,8.7,,,,,CHL0004010,-20.2717,-69.7559,WRI
Multilateral,Inter-American Development Bank,Multilateral,Pozo Almonte and Calama Solar Financing (26.1MW),"$20,700,000 ",7/30/2013,Latin America & Caribbean,Chile,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,8.7,,,,8.7,,,,,CHL0004010,-20.2717,-69.7559,WRI
Multilateral,Inter-American Development Bank,Multilateral,Sustainable Off-grid Renewable Energy Solutions for Remote Communities,"$996,861 ",8/1/2013,Latin America & Caribbean,Ecuador,,Government of Ecuador,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://www.iadb.org/en/projects/project-description-title,1303.html?id=EC-M1063",,Renewables,Solar,,,Financial Close,,,,,,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Viger-Denonville Wind Farm Financing (25MW),"$56,900,000 ",8/7/2013,US and Canada,Canada,Quebec,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,25,,,,25,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Generacion Eolica Minas Financing (42MW),"$79,500,000 ",8/12/2013,Latin America & Caribbean,Uruguay,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,42,,,,42,,,,,URY0000850,-34.4647,-55.3065,WRI
United States,Export-Import Bank of the United States (EXIM),Export Credit & Insurance,Abener Energ??a S.A.,"$22,576,730 ",8/15/2013,Sub-Saharan Africa,South Africa,,Abener Energ??a S.A.,,,Oil Change International’s Shift the Subsidies Database,,"http://www.exim.gov/sites/default/files/reports/annual/annual-report-2013.pdf (see p.36)    

http://www.exim.gov/news/ex-im-bank-approves-34-million-finance-export-us-solar-related-products-spain-and-south-africa",,Renewables,Solar,,,,,,,,,,,,,,,,
United States,Export-Import Bank of the United States (EXIM),Export Credit & Insurance,Abener Energ??a S.A.,"$10,989,429 ",8/15/2013,Europe,Spain,,Abener Energ??a S.A.,,,Oil Change International’s Shift the Subsidies Database,,"http://www.exim.gov/sites/default/files/reports/annual/annual-report-2013.pdf (see p.37)    

http://www.exim.gov/news/ex-im-bank-approves-34-million-finance-export-us-solar-related-products-spain-and-south-africa",,Renewables,Solar,,,,,,,,,,,,,,,,
Japan,Nippon Export and Investment Insurance (NEXI),Export Credit & Insurance,Thai Binh 2 Coal Power Plant,"$56,000,000 ",8/22/2013,Southeast Asia,Vietnam,Thai Binh,PETROVIETNAM POWER CORP,DAE/PVC,TOSHIBA,http://www.jbic.go.jp/en/information/press/press-2013/0822-7553,,,,Coal Power Plant,Coal Power Plant - New,Supercritical,,Financial Close,400,0.46,18,,,PETROVIETNAM,BWBC,TOSHIBA,DAELIM,,20.4828445,106.563262,GCPT
Japan,Japan Bank for International Cooperation (JBIC),Export Credit & Insurance,Thai Binh 2 Coal Power Plant,"$85,000,000 ",8/22/2013,Southeast Asia,Vietnam,Thai Binh,PETROVIETNAM POWER CORP,,,http://www.jbic.go.jp/en/information/press/press-2013/0822-7553,,"http://sekitan.jp/jbic/wp-content/uploads/2014/01/Lists-of-Approved-Coal-Investments-by-JBIC-April-2015.pdf
https://www.jetro.go.jp/world/asia/vn/petrovietnam/pdf/201109_II-1.pdf",,Coal Power Plant,Coal Power Plant - New,Supercritical,,Financial Close,400,0.46,18,,,,,,,,20.4828445,106.563262,GCPT
